time_utc,air_T_C,wind_m_s,wind_dir_deg,ghi_W_m2,sun_elev_deg,sun_az_deg,roof_T_C,gap_T_C,sky_T_C,roof_snow_depth_m,surface_ice_equiv_m,surface_ice_cover_fraction,wall_ice_avg_m,wall_ice_max_m,cum_top_MJ,cum_wall_MJ,cum_wall_ambient_MJ,cum_wall_interface_MJ,cum_wall_ice_latent_MJ,cum_wall_solar_abs_MJ,cum_bottom_MJ,cum_gap_to_water_MJ,cum_roof_gap_MJ,cum_gap_vent_MJ,cum_roof_lw_MJ,cum_roof_conv_MJ,cum_roof_solar_abs_MJ,freeze_budget_top_frac,freeze_budget_wall_frac,freeze_budget_bottom_frac,sector_000_top_water_C,sector_000_bottom_water_C,sector_000_surface_ice_m,sector_000_avg_wall_ice_m,sector_000_wall_flux_W_m2,sector_000_top_flux_W_m2,sector_045_top_water_C,sector_045_bottom_water_C,sector_045_surface_ice_m,sector_045_avg_wall_ice_m,sector_045_wall_flux_W_m2,sector_045_top_flux_W_m2,sector_090_top_water_C,sector_090_bottom_water_C,sector_090_surface_ice_m,sector_090_avg_wall_ice_m,sector_090_wall_flux_W_m2,sector_090_top_flux_W_m2,sector_135_top_water_C,sector_135_bottom_water_C,sector_135_surface_ice_m,sector_135_avg_wall_ice_m,sector_135_wall_flux_W_m2,sector_135_top_flux_W_m2,sector_180_top_water_C,sector_180_bottom_water_C,sector_180_surface_ice_m,sector_180_avg_wall_ice_m,sector_180_wall_flux_W_m2,sector_180_top_flux_W_m2,sector_225_top_water_C,sector_225_bottom_water_C,sector_225_surface_ice_m,sector_225_avg_wall_ice_m,sector_225_wall_flux_W_m2,sector_225_top_flux_W_m2,sector_270_top_water_C,sector_270_bottom_water_C,sector_270_surface_ice_m,sector_270_avg_wall_ice_m,sector_270_wall_flux_W_m2,sector_270_top_flux_W_m2,sector_315_top_water_C,sector_315_bottom_water_C,sector_315_surface_ice_m,sector_315_avg_wall_ice_m,sector_315_wall_flux_W_m2,sector_315_top_flux_W_m2
2024-04-01T00:00:00+00:00,-3.2,1.51,278.0,0.0,-21.256977078085225,265.6649740013019,7.0,7.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
2024-04-01T01:00:00+00:00,-3.5,1.7,267.0,0.0,-34.93069026995616,258.7673717767302,1.9515809397189703,3.523780059756487,-4.858481493711679,0.0,0.0,0.0,0.0,0.0,-0.46864431231865084,13.801578461509713,13.801578461509713,13.801578461509713,0.0,0.0,0.004102582404368369,-0.46864431231865084,-0.3005014880620237,0.1879481336700888,2.2301774133420627,5.348685413154173,0.0,0.03284071452466363,0.9671592854753364,0.0,6.940555324895145,6.969911862361231,0.0,0.0,142.6695603989238,-6.139737279205242,6.939248933575589,6.968113551620111,0.0,0.0,151.08314572248912,-6.1375321477183205,6.938770614632376,6.96745507971926,0.0,0.0,154.16132808263436,-6.1367246977753656,6.939387987094737,6.96830497363565,0.0,0.0,150.18804202796218,-6.137766876999189,6.9351328869749755,6.962446494117474,0.0,0.0,177.53036492313345,-6.130582648356587,6.928585199152503,6.95342797461539,0.0,0.0,219.40863329947766,-6.119521951135757,6.926287415444549,6.950262066223549,0.0,0.0,234.04846187326697,-6.115638765680538,6.929262933013148,6.95436165986195,0.0,0.0,215.08497690019038,-6.120667137018092
2024-04-01T02:00:00+00:00,-4.2,1.75,283.0,0.0,-48.21489096235699,249.5103223741716,-0.9443860551299956,1.8645882719979578,-5.554954933186536,0.0,0.0,0.0,0.0,0.0,-1.156262130045717,28.466851509004698,28.466851509004698,28.466851509004698,0.0,0.0,0.011459692633264237,-1.156262130045717,-0.8373933832882654,0.3502294177510489,3.6994742952618678,8.585819563391238,0.0,0.039032430693628516,0.9609675693063714,0.0,6.8737581568454855,6.926563907066226,0.0,0.0,199.9567909937813,-9.000365909858889,6.879456935017142,6.934031502108105,0.0,0.0,156.84162276595583,-9.009787003204524,6.878197921229266,6.9321538802007865,0.0,0.0,162.58564111734347,-9.007587420941485,6.878917246429485,6.933329085077748,0.0,0.0,161.01084979713318,-9.008897479385519,6.876976346837097,6.929386823175174,0.0,0.0,152.41363744948106,-9.004961104141595,6.861698920696284,6.9063807940799915,0.0,0.0,218.18086162939588,-8.978148906696813,6.855668978451484,6.897383955605463,0.0,0.0,245.38285657117933,-8.967605821599745,6.859090771920464,6.90298585169312,0.0,0.0,238.177836520681,-8.973845992123069
2024-04-01T03:00:00+00:00,-3.8,0.94,238.0,0.0,-60.452806474562024,234.54305387275872,-2.022978690280118,1.277896889955297,-5.156970110629459,0.0,0.0,0.0,0.0,0.0,-1.9182529958215868,40.22786737046871,40.22786737046871,40.22786737046871,0.0,0.0,0.021570170126111114,-1.9182529958215868,-1.4683045771227135,0.48610799528574106,4.678897257500048,9.894183353022086,0.0,0.04551434341168593,0.954485656588314,0.0,6.832660010313383,6.896382186387981,0.0,0.0,135.0595271763088,-9.97822096374645,6.83628007607404,6.902987269249622,0.0,0.0,138.64656017497992,-9.98517375156742,6.835383593418701,6.901345889634822,0.0,0.0,137.66324363871735,-9.983448982559937,6.836690737977347,6.903401813136627,0.0,0.0,133.45081773082993,-9.985787590938731,6.828960373606021,6.891892215908041,0.0,0.0,169.16269578179538,-9.972294630094908,6.814004087430027,6.866308126411647,0.0,0.0,182.7160543467906,-9.944456384950575,6.809766482400697,6.858524998199849,0.0,0.0,177.65475492601425,-9.936290865009937,6.816210428544754,6.868616240493398,0.0,0.0,156.29973881771465,-9.947800124427642
2024-04-01T04:00:00+00:00,-3.5,1.34,243.0,0.0,-69.55632515230978,205.76334959230914,-2.5730272238799095,0.9826992922323213,-4.858481493711679,0.0,0.0,0.0,0.0,0.0,-2.7152368932715514,52.605252581218295,52.605252581218295,52.605252581218295,0.0,0.0,0.034531466755594445,-2.7152368932715514,-2.1479265764072726,0.6060597817328387,5.387092011064253,10.687093343383898,0.0,0.04908193906208366,0.9509180609379163,0.0,6.795528851596601,6.865583267558176,0.0,0.0,136.0893954643435,-10.441910037957367,6.798441759628109,6.87102269102197,0.0,0.0,141.0705461461431,-10.44756987586465,6.797624589744162,6.869542264086365,0.0,0.0,140.4358043365962,-10.446005893132432,6.799591798815066,6.872698937116451,0.0,0.0,135.13745587274775,-10.449558029594279,6.786509306269893,6.852170964685921,0.0,0.0,178.0436837532017,-10.426175311459993,6.76898319618211,6.822492340861387,0.0,0.0,198.88987466434207,-10.393709271503306,6.765140776897878,6.8155193120934,0.0,0.0,195.69029291084496,-10.386348910935386,6.774809263229375,6.831026605800184,0.0,0.0,169.7922163082684,-10.403809351870867
2024-04-01T05:00:00+00:00,-2.8,1.53,238.0,0.0,-70.43759962480321,161.11123428090968,-2.572516911455215,1.0157473617365222,-4.162008054236765,0.0,0.0,0.0,0.0,0.0,-3.502795047876824,64.4475607398914,64.4475607398914,64.4475607398914,0.0,0.0,0.05026005278328694,-3.502795047876824,-2.8337676635261757,0.7081647151296012,5.874203400996423,10.887378145101339,0.0,0.05154932608178284,0.948450673918217,0.0,6.762999411058171,6.836011733895876,0.0,0.0,129.33504494929093,-10.324233866582059,6.765332453580098,6.84039993859884,0.0,0.0,133.86303260221442,-10.328783676544928,6.764704190259222,6.839214835194087,0.0,0.0,132.58630011763123,-10.327556677983644,6.767380793603999,6.843587655080738,0.0,0.0,126.67104789059417,-10.3324302399172,6.748380002958469,6.81295121505898,0.0,0.0,175.26961988908187,-10.298040931809375,6.728881173055443,6.779670690019749,0.0,0.0,194.06879556991973,-10.2617837247367,6.725946916271036,6.774124614879933,0.0,0.0,187.94572845493778,-10.256048168793907,6.739049221217239,6.795534236794635,0.0,0.0,159.42011564816133,-10.279915138195143
2024-04-01T06:00:00+00:00,-2.2,1.46,254.0,0.0,-62.29774986300494,129.01030191056105,-2.3060874558630906,1.1894050637815268,-3.565030820401148,0.0,0.0,0.0,0.0,0.0,-4.262282180537794,75.30444056639641,75.30444056639641,75.30444056639641,0.0,0.0,0.06855463018419578,-4.262282180537794,-3.501876868190923,0.7988612276299901,6.256831805050207,10.782200977843921,0.0,0.05356865324331867,0.9464313467566813,0.0,6.735188169256338,6.808918902604368,0.0,0.0,117.23960880868555,-9.962388238730776,6.736817683271502,6.812110241416642,0.0,0.0,122.53157680186972,-9.965632342465828,6.736044478095104,6.810788479020385,0.0,0.0,123.25765804983973,-9.964193858382998,6.7390883102456245,6.815929682442726,0.0,0.0,119.35456422205209,-9.969824137865482,6.717451889996293,6.7794835904960475,0.0,0.0,148.62873900659199,-9.929851398945225,6.695208758157396,6.741641690033633,0.0,0.0,172.18994392999724,-9.888556770046229,6.6915857559395695,6.735452057469574,0.0,0.0,175.57677263466775,-9.881816777413517,6.706392528782207,6.760481734408901,0.0,0.0,157.2672186915649,-9.909223246487608
2024-04-01T07:00:00+00:00,-2.4,1.32,261.0,0.0,-50.37075085501362,112.46013342041209,-2.2526526020662336,1.1934588299429987,-3.764023231679687,0.0,0.0,0.0,0.0,0.0,-5.0169532326043,86.030806914653,86.030806914653,86.030806914653,0.0,0.0,0.08936726887567038,-5.0169532326043,-4.160547643506975,0.8950179800855194,6.720849780127302,10.900299730623074,0.0,0.055102434420023785,0.9448975655799763,0.0,6.706763038964845,6.781891346469442,0.0,0.0,116.86505010234724,-9.90430545151695,6.707731016010788,6.7839126674289725,0.0,0.0,122.1190350824725,-9.906298300719511,6.706777376545483,6.7823123226832,0.0,0.0,123.516733106353,-9.904539776481885,6.71010577665851,6.788011134725023,0.0,0.0,120.54286174240188,-9.910736737298063,6.686471766051728,6.7475617914483,0.0,0.0,141.83157780235715,-9.86674028399005,6.661582984164007,6.705088934374073,0.0,0.0,166.06645060450913,-9.820467323782406,6.657094914865807,6.697567307381815,0.0,0.0,172.6883721107592,-9.812193832697133,6.673236029468312,6.725214785952172,0.0,0.0,158.75928548403866,-9.842258296633979
2024-04-01T08:00:00+00:00,-2.2,1.32,261.0,0.0,-37.19749915129403,102.56509574274378,-2.138732988416099,1.2574648233549983,-3.565030820401148,0.0,0.0,0.0,0.0,0.0,-5.758694731176902,96.47134120397625,96.47134120397625,96.47134120397625,0.0,0.0,0.11263735032467062,-5.758694731176902,-4.809678204123146,0.9875356920940136,7.158287297764971,10.944796722183948,0.0,0.056330751314904885,0.9436692486850952,0.0,6.679106686220623,6.755456717666625,0.0,0.0,113.89316302963546,-9.739867723684238,6.679453435285762,6.756369116732718,0.0,0.0,118.94506562686041,-9.740680306656225,6.678352789989971,6.754505947542887,0.0,0.0,120.28782520599695,-9.73864226714143,6.6819799873998535,6.76073701427178,0.0,0.0,117.39218009523475,-9.7454063176252,6.656197121771538,6.716461777689499,0.0,0.0,138.14312109962643,-9.697332414170576,6.628848017999726,6.669598962671939,0.0,0.0,161.5786463130518,-9.64638556860913,6.623664011725819,6.660830973619052,0.0,0.0,167.89288958233496,-9.636787510073578,6.641205863777193,6.690973212590804,0.0,0.0,154.34747766410626,-9.66951064300586
2024-04-01T09:00:00+00:00,-2.0,1.65,256.0,0.0,-23.565185300955417,95.40068246122598,-1.9900428073300793,1.3402527659498424,-3.366038409122609,0.0,0.0,0.0,0.0,0.0,-6.484828741009148,107.33682581495984,107.33682581495984,107.33682581495984,0.0,0.0,0.13844163519054337,-6.484828741009148,-5.446212573531206,1.0769169466329533,7.5804405451209345,10.9457924106947,0.0,0.05697359405209132,0.9430264059479087,0.0,6.651167751918646,6.7286398041862325,0.0,0.0,115.51613239145223,-9.54140073433829,6.650797128728236,6.7283235101153815,0.0,0.0,121.20451976398547,-9.540877481095425,6.6496034073055865,6.726275457173479,0.0,0.0,122.20001365592827,-9.53865274903849,6.653706168479787,6.73327741582051,0.0,0.0,118.15151268824874,-9.54627954934397,6.624365404096034,6.683270076679944,0.0,0.0,148.04575782181826,-9.49176787765812,6.594188049517656,6.6315645955297295,0.0,0.0,173.83014617315936,-9.435551365535076,6.588595681060041,6.6219658865305195,0.0,0.0,178.28787953067143,-9.42512392895248,6.6083221477506315,6.655656080387049,0.0,0.0,159.71051064203147,-9.461817064821046
