time_utc,sector_000_beam_projection,sector_000_direct_transmission,sector_000_effective_wind_factor,sector_000_sky_view_factor,sector_000_ground_view_factor,sector_000_wall_shaded_height_frac,sector_000_wall_solar_flux_W_m2,sector_000_wall_solar_direct_W_m2,sector_000_wall_solar_diffuse_W_m2,sector_000_wall_solar_ground_W_m2,sector_000_wall_ambient_flux_W_m2,sector_000_wall_interface_flux_W_m2,sector_000_wall_ice_latent_flux_W_m2,sector_045_beam_projection,sector_045_direct_transmission,sector_045_effective_wind_factor,sector_045_sky_view_factor,sector_045_ground_view_factor,sector_045_wall_shaded_height_frac,sector_045_wall_solar_flux_W_m2,sector_045_wall_solar_direct_W_m2,sector_045_wall_solar_diffuse_W_m2,sector_045_wall_solar_ground_W_m2,sector_045_wall_ambient_flux_W_m2,sector_045_wall_interface_flux_W_m2,sector_045_wall_ice_latent_flux_W_m2,sector_090_beam_projection,sector_090_direct_transmission,sector_090_effective_wind_factor,sector_090_sky_view_factor,sector_090_ground_view_factor,sector_090_wall_shaded_height_frac,sector_090_wall_solar_flux_W_m2,sector_090_wall_solar_direct_W_m2,sector_090_wall_solar_diffuse_W_m2,sector_090_wall_solar_ground_W_m2,sector_090_wall_ambient_flux_W_m2,sector_090_wall_interface_flux_W_m2,sector_090_wall_ice_latent_flux_W_m2,sector_135_beam_projection,sector_135_direct_transmission,sector_135_effective_wind_factor,sector_135_sky_view_factor,sector_135_ground_view_factor,sector_135_wall_shaded_height_frac,sector_135_wall_solar_flux_W_m2,sector_135_wall_solar_direct_W_m2,sector_135_wall_solar_diffuse_W_m2,sector_135_wall_solar_ground_W_m2,sector_135_wall_ambient_flux_W_m2,sector_135_wall_interface_flux_W_m2,sector_135_wall_ice_latent_flux_W_m2,sector_180_beam_projection,sector_180_direct_transmission,sector_180_effective_wind_factor,sector_180_sky_view_factor,sector_180_ground_view_factor,sector_180_wall_shaded_height_frac,sector_180_wall_solar_flux_W_m2,sector_180_wall_solar_direct_W_m2,sector_180_wall_solar_diffuse_W_m2,sector_180_wall_solar_ground_W_m2,sector_180_wall_ambient_flux_W_m2,sector_180_wall_interface_flux_W_m2,sector_180_wall_ice_latent_flux_W_m2,sector_225_beam_projection,sector_225_direct_transmission,sector_225_effective_wind_factor,sector_225_sky_view_factor,sector_225_ground_view_factor,sector_225_wall_shaded_height_frac,sector_225_wall_solar_flux_W_m2,sector_225_wall_solar_direct_W_m2,sector_225_wall_solar_diffuse_W_m2,sector_225_wall_solar_ground_W_m2,sector_225_wall_ambient_flux_W_m2,sector_225_wall_interface_flux_W_m2,sector_225_wall_ice_latent_flux_W_m2,sector_270_beam_projection,sector_270_direct_transmission,sector_270_effective_wind_factor,sector_270_sky_view_factor,sector_270_ground_view_factor,sector_270_wall_shaded_height_frac,sector_270_wall_solar_flux_W_m2,sector_270_wall_solar_direct_W_m2,sector_270_wall_solar_diffuse_W_m2,sector_270_wall_solar_ground_W_m2,sector_270_wall_ambient_flux_W_m2,sector_270_wall_interface_flux_W_m2,sector_270_wall_ice_latent_flux_W_m2,sector_315_beam_projection,sector_315_direct_transmission,sector_315_effective_wind_factor,sector_315_sky_view_factor,sector_315_ground_view_factor,sector_315_wall_shaded_height_frac,sector_315_wall_solar_flux_W_m2,sector_315_wall_solar_direct_W_m2,sector_315_wall_solar_diffuse_W_m2,sector_315_wall_solar_ground_W_m2,sector_315_wall_ambient_flux_W_m2,sector_315_wall_interface_flux_W_m2,sector_315_wall_ice_latent_flux_W_m2
2024-04-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01T01:00:00+00:00,0.0,0.0,0.18523359562429437,1.0,1.0,1.0,0.0,0.0,0.0,0.0,142.6695603989238,142.6695603989238,0.0,0.0,0.0,0.2543144825477394,1.0,1.0,1.0,0.0,0.0,0.0,0.0,151.08314572248912,151.08314572248912,0.0,0.0,0.0,0.27986295347545737,1.0,1.0,1.0,0.0,0.0,0.0,0.0,154.16132808263436,154.16132808263436,0.0,0.0,0.0,0.2469130606358858,1.0,1.0,1.0,0.0,0.0,0.0,0.0,150.18804202796218,150.18804202796218,0.0,0.0,0.0,0.4787847759336192,1.0,1.0,1.0,0.0,0.0,0.0,0.0,177.53036492313345,177.53036492313345,0.0,0.0,0.0,0.8587296540125668,1.0,1.0,1.0,0.0,0.0,0.0,0.0,219.40863329947766,219.40863329947766,0.0,0.0,0.0,0.9992462441150156,1.0,1.0,1.0,0.0,0.0,0.0,0.0,234.04846187326697,234.04846187326697,0.0,0.0,0.0,0.8180218334973721,1.0,1.0,1.0,0.0,0.0,0.0,0.0,215.08497690019038,215.08497690019038,0.0
2024-04-01T02:00:00+00:00,0.0,0.0,0.5737230798891257,1.0,1.0,1.0,0.0,0.0,0.0,0.0,199.9567909937813,199.9567909937813,0.0,0.0,0.0,0.23299192642332048,1.0,1.0,1.0,0.0,0.0,0.0,0.0,156.84162276595583,156.84162276595583,0.0,0.0,0.0,0.27743700647852354,1.0,1.0,1.0,0.0,0.0,0.0,0.0,162.58564111734347,162.58564111734347,0.0,0.0,0.0,0.26480480961564257,1.0,1.0,1.0,0.0,0.0,0.0,0.0,161.01084979713318,161.01084979713318,0.0,0.0,0.0,0.2024951054343865,1.0,1.0,1.0,0.0,0.0,0.0,0.0,152.41363744948106,152.41363744948106,0.0,0.0,0.0,0.7414555953282627,1.0,1.0,1.0,0.0,0.0,0.0,0.0,218.18086162939588,218.18086162939588,0.0,0.0,0.0,0.9859035356318795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,245.38285657117933,245.38285657117933,0.0,0.0,0.0,0.9164264528860343,1.0,1.0,1.0,0.0,0.0,0.0,0.0,238.177836520681,238.177836520681,0.0
2024-04-01T03:00:00+00:00,0.0,0.0,0.23299192642332048,1.0,1.0,1.0,0.0,0.0,0.0,0.0,135.0595271763088,135.0595271763088,0.0,0.0,0.0,0.27743700647852354,1.0,1.0,1.0,0.0,0.0,0.0,0.0,138.64656017497992,138.64656017497992,0.0,0.0,0.0,0.26480480961564257,1.0,1.0,1.0,0.0,0.0,0.0,0.0,137.66324363871735,137.66324363871735,0.0,0.0,0.0,0.2024951054343865,1.0,1.0,1.0,0.0,0.0,0.0,0.0,133.45081773082993,133.45081773082993,0.0,0.0,0.0,0.7414555953282627,1.0,1.0,1.0,0.0,0.0,0.0,0.0,169.16269578179538,169.16269578179538,0.0,0.0,0.0,0.9859035356318795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,182.7160543467906,182.7160543467906,0.0,0.0,0.0,0.9164264528860343,1.0,1.0,1.0,0.0,0.0,0.0,0.0,177.65475492601425,177.65475492601425,0.0,0.0,0.0,0.5737230798891257,1.0,1.0,1.0,0.0,0.0,0.0,0.0,156.29973881771465,156.29973881771465,0.0
2024-04-01T04:00:00+00:00,0.0,0.0,0.22539904997395466,1.0,1.0,1.0,0.0,0.0,0.0,0.0,136.0893954643435,136.0893954643435,0.0,0.0,0.0,0.27510565162951534,1.0,1.0,1.0,0.0,0.0,0.0,0.0,141.0705461461431,141.0705461461431,0.0,0.0,0.0,0.2691006524188368,1.0,1.0,1.0,0.0,0.0,0.0,0.0,140.4358043365962,140.4358043365962,0.0,0.0,0.0,0.21090169943749473,1.0,1.0,1.0,0.0,0.0,0.0,0.0,135.13745587274775,135.13745587274775,0.0,0.0,0.0,0.6996947748567508,1.0,1.0,1.0,0.0,0.0,0.0,0.0,178.0436837532017,178.0436837532017,0.0,0.0,0.0,0.9730810839623345,1.0,1.0,1.0,0.0,0.0,0.0,0.0,198.88987466434207,198.88987466434207,0.0,0.0,0.0,0.9400535883036024,1.0,1.0,1.0,0.0,0.0,0.0,0.0,195.69029291084496,195.69029291084496,0.0,0.0,0.0,0.6199593469062211,1.0,1.0,1.0,0.0,0.0,0.0,0.0,169.7922163082684,169.7922163082684,0.0
2024-04-01T05:00:00+00:00,0.0,0.0,0.23299192642332048,1.0,1.0,1.0,0.0,0.0,0.0,0.0,129.33504494929093,129.33504494929093,0.0,0.0,0.0,0.27743700647852354,1.0,1.0,1.0,0.0,0.0,0.0,0.0,133.86303260221442,133.86303260221442,0.0,0.0,0.0,0.26480480961564257,1.0,1.0,1.0,0.0,0.0,0.0,0.0,132.58630011763123,132.58630011763123,0.0,0.0,0.0,0.2024951054343865,1.0,1.0,1.0,0.0,0.0,0.0,0.0,126.67104789059417,126.67104789059417,0.0,0.0,0.0,0.7414555953282627,1.0,1.0,1.0,0.0,0.0,0.0,0.0,175.26961988908187,175.26961988908187,0.0,0.0,0.0,0.9859035356318795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,194.06879556991973,194.06879556991973,0.0,0.0,0.0,0.9164264528860343,1.0,1.0,1.0,0.0,0.0,0.0,0.0,187.94572845493778,187.94572845493778,0.0,0.0,0.0,0.5737230798891257,1.0,1.0,1.0,0.0,0.0,0.0,0.0,159.42011564816133,159.42011564816133,0.0
2024-04-01T06:00:00+00:00,0.0,0.0,0.2075637355816999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,117.23960880868555,117.23960880868555,0.0,0.0,0.0,0.26746197071393957,1.0,1.0,1.0,0.0,0.0,0.0,0.0,122.53157680186972,122.53157680186972,0.0,0.0,0.0,0.2761261695938319,1.0,1.0,1.0,0.0,0.0,0.0,0.0,123.25765804983973,123.25765804983973,0.0,0.0,0.0,0.2284809620246337,1.0,1.0,1.0,0.0,0.0,0.0,0.0,119.35456422205209,119.35456422205209,0.0,0.0,0.0,0.6016005456993496,1.0,1.0,1.0,0.0,0.0,0.0,0.0,148.62873900659199,148.62873900659199,0.0,0.0,0.0,0.9310408389266678,1.0,1.0,1.0,0.0,0.0,0.0,0.0,172.18994392999724,172.18994392999724,0.0,0.0,0.0,0.9786939327660755,1.0,1.0,1.0,0.0,0.0,0.0,0.0,175.57677263466775,175.57677263466775,0.0,0.0,0.0,0.7166452911354855,1.0,1.0,1.0,0.0,0.0,0.0,0.0,157.2672186915649,157.2672186915649,0.0
2024-04-01T07:00:00+00:00,0.0,0.0,0.19564344650402307,1.0,1.0,1.0,0.0,0.0,0.0,0.0,116.86505010234724,116.86505010234724,0.0,0.0,0.0,0.26090169943749475,1.0,1.0,1.0,0.0,0.0,0.0,0.0,122.1190350824725,122.1190350824725,0.0,0.0,0.0,0.27876883405951375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,123.516733106353,123.516733106353,0.0,0.0,0.0,0.2387785252292473,1.0,1.0,1.0,0.0,0.0,0.0,0.0,120.54286174240188,120.54286174240188,0.0,0.0,0.0,0.536038955772127,1.0,1.0,1.0,0.0,0.0,0.0,0.0,141.83157780235715,141.83157780235715,0.0,0.0,0.0,0.8949593469062211,1.0,1.0,1.0,0.0,0.0,0.0,0.0,166.06645060450913,166.06645060450913,0.0,0.0,0.0,0.9932285873273259,1.0,1.0,1.0,0.0,0.0,0.0,0.0,172.6883721107592,172.6883721107592,0.0,0.0,0.0,0.7732818887608602,1.0,1.0,1.0,0.0,0.0,0.0,0.0,158.75928548403866,158.75928548403866,0.0
2024-04-01T08:00:00+00:00,0.0,0.0,0.19564344650402307,1.0,1.0,1.0,0.0,0.0,0.0,0.0,113.89316302963546,113.89316302963546,0.0,0.0,0.0,0.26090169943749475,1.0,1.0,1.0,0.0,0.0,0.0,0.0,118.94506562686041,118.94506562686041,0.0,0.0,0.0,0.27876883405951375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,120.28782520599695,120.28782520599695,0.0,0.0,0.0,0.2387785252292473,1.0,1.0,1.0,0.0,0.0,0.0,0.0,117.39218009523475,117.39218009523475,0.0,0.0,0.0,0.536038955772127,1.0,1.0,1.0,0.0,0.0,0.0,0.0,138.14312109962643,138.14312109962643,0.0,0.0,0.0,0.8949593469062211,1.0,1.0,1.0,0.0,0.0,0.0,0.0,161.5786463130518,161.5786463130518,0.0,0.0,0.0,0.9932285873273259,1.0,1.0,1.0,0.0,0.0,0.0,0.0,167.89288958233496,167.89288958233496,0.0,0.0,0.0,0.7732818887608602,1.0,1.0,1.0,0.0,0.0,0.0,0.0,154.34747766410626,154.34747766410626,0.0
2024-04-01T09:00:00+00:00,0.0,0.0,0.20419218955996676,1.0,1.0,1.0,0.0,0.0,0.0,0.0,115.51613239145223,115.51613239145223,0.0,0.0,0.0,0.26571673007021124,1.0,1.0,1.0,0.0,0.0,0.0,0.0,121.20451976398547,121.20451976398547,0.0,0.0,0.0,0.27702957262759964,1.0,1.0,1.0,0.0,0.0,0.0,0.0,122.20001365592827,122.20001365592827,0.0,0.0,0.0,0.2315038074910054,1.0,1.0,1.0,0.0,0.0,0.0,0.0,118.15151268824874,118.15151268824874,0.0,0.0,0.0,0.5830570425798173,1.0,1.0,1.0,0.0,0.0,0.0,0.0,148.04575782181826,148.04575782181826,0.0,0.0,0.0,0.9214420153861618,1.0,1.0,1.0,0.0,0.0,0.0,0.0,173.83014617315936,173.83014617315936,0.0,0.0,0.0,0.9836626494517982,1.0,1.0,1.0,0.0,0.0,0.0,0.0,178.28787953067143,178.28787953067143,0.0,0.0,0.0,0.7332709412005298,1.0,1.0,1.0,0.0,0.0,0.0,0.0,159.71051064203147,159.71051064203147,0.0
