time_utc,cum_top_MJ,cum_wall_MJ,cum_wall_ambient_MJ,cum_wall_interface_MJ,cum_wall_ice_latent_MJ,cum_wall_solar_abs_MJ,cum_wall_solar_direct_MJ,cum_wall_solar_diffuse_MJ,cum_wall_solar_ground_MJ,cum_bottom_MJ,cum_gap_to_water_MJ,cum_roof_gap_MJ,cum_gap_vent_MJ,cum_roof_lw_MJ,cum_roof_conv_MJ,cum_roof_solar_abs_MJ,cum_top_cooling_MJ,cum_wall_cooling_MJ,cum_bottom_cooling_MJ,freeze_budget_top_frac,freeze_budget_wall_frac,freeze_budget_bottom_frac
2024-04-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01T01:00:00+00:00,-0.46864431231865084,13.801578461509713,13.801578461509713,13.801578461509713,0.0,0.0,0.0,0.0,0.0,0.004102582404368369,-0.46864431231865084,-0.3005014880620237,0.1879481336700888,2.2301774133420627,5.348685413154173,0.0,0.46864431231865084,13.801578461509713,0.0,0.03284071452466363,0.9671592854753364,0.0
2024-04-01T02:00:00+00:00,-1.156262130045717,28.466851509004698,28.466851509004698,28.466851509004698,0.0,0.0,0.0,0.0,0.0,0.011459692633264237,-1.156262130045717,-0.8373933832882654,0.3502294177510489,3.6994742952618678,8.585819563391238,0.0,1.156262130045717,28.466851509004698,0.0,0.039032430693628516,0.9609675693063714,0.0
2024-04-01T03:00:00+00:00,-1.9182529958215868,40.22786737046871,40.22786737046871,40.22786737046871,0.0,0.0,0.0,0.0,0.0,0.021570170126111114,-1.9182529958215868,-1.4683045771227135,0.48610799528574106,4.678897257500048,9.894183353022086,0.0,1.9182529958215868,40.22786737046871,0.0,0.04551434341168593,0.954485656588314,0.0
2024-04-01T04:00:00+00:00,-2.7152368932715514,52.605252581218295,52.605252581218295,52.605252581218295,0.0,0.0,0.0,0.0,0.0,0.034531466755594445,-2.7152368932715514,-2.1479265764072726,0.6060597817328387,5.387092011064253,10.687093343383898,0.0,2.7152368932715514,52.605252581218295,0.0,0.04908193906208366,0.9509180609379163,0.0
2024-04-01T05:00:00+00:00,-3.502795047876824,64.4475607398914,64.4475607398914,64.4475607398914,0.0,0.0,0.0,0.0,0.0,0.05026005278328694,-3.502795047876824,-2.8337676635261757,0.7081647151296012,5.874203400996423,10.887378145101339,0.0,3.502795047876824,64.4475607398914,0.0,0.05154932608178284,0.948450673918217,0.0
2024-04-01T06:00:00+00:00,-4.262282180537794,75.30444056639641,75.30444056639641,75.30444056639641,0.0,0.0,0.0,0.0,0.0,0.06855463018419578,-4.262282180537794,-3.501876868190923,0.7988612276299901,6.256831805050207,10.782200977843921,0.0,4.262282180537794,75.30444056639641,0.0,0.05356865324331867,0.9464313467566813,0.0
2024-04-01T07:00:00+00:00,-5.0169532326043,86.030806914653,86.030806914653,86.030806914653,0.0,0.0,0.0,0.0,0.0,0.08936726887567038,-5.0169532326043,-4.160547643506975,0.8950179800855194,6.720849780127302,10.900299730623074,0.0,5.0169532326043,86.030806914653,0.0,0.055102434420023785,0.9448975655799763,0.0
2024-04-01T08:00:00+00:00,-5.758694731176902,96.47134120397625,96.47134120397625,96.47134120397625,0.0,0.0,0.0,0.0,0.0,0.11263735032467062,-5.758694731176902,-4.809678204123146,0.9875356920940136,7.158287297764971,10.944796722183948,0.0,5.758694731176902,96.47134120397625,0.0,0.056330751314904885,0.9436692486850952,0.0
2024-04-01T09:00:00+00:00,-6.484828741009148,107.33682581495984,107.33682581495984,107.33682581495984,0.0,0.0,0.0,0.0,0.0,0.13844163519054337,-6.484828741009148,-5.446212573531206,1.0769169466329533,7.5804405451209345,10.9457924106947,0.0,6.484828741009148,107.33682581495984,0.0,0.05697359405209132,0.9430264059479087,0.0
