time_utc,cum_top_MJ,cum_wall_MJ,cum_wall_ambient_MJ,cum_wall_interface_MJ,cum_wall_ice_latent_MJ,cum_wall_solar_abs_MJ,cum_wall_solar_direct_MJ,cum_wall_solar_diffuse_MJ,cum_wall_solar_ground_MJ,cum_bottom_MJ,cum_gap_to_water_MJ,cum_roof_gap_MJ,cum_gap_vent_MJ,cum_roof_lw_MJ,cum_roof_conv_MJ,cum_roof_solar_abs_MJ,cum_top_cooling_MJ,cum_wall_cooling_MJ,cum_bottom_cooling_MJ,freeze_budget_top_frac,freeze_budget_wall_frac,freeze_budget_bottom_frac
2024-04-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01T01:00:00+00:00,-0.39857232909887463,11.563756772771843,11.563756772771843,11.563756772771843,0.0,0.0,0.0,0.0,0.0,0.0036647277366629333,-0.39857232909887463,-0.24851025718720193,0.167082444275532,2.0830794082120945,4.429380421104183,0.0,0.39857232909887463,11.563756772771843,0.0,0.033318957011184744,0.9666810429888153,0.0
2024-04-01T02:00:00+00:00,-1.013232599713011,24.732609555349953,24.732609555349953,24.732609555349953,0.0,0.0,0.0,0.0,0.0,0.010243174994535567,-1.013232599713011,-0.7215995423758131,0.3199299955832874,3.561375571278322,7.506890802811336,0.0,1.013232599713011,24.732609555349953,0.0,0.039355193495341036,0.960644806504659,0.0
2024-04-01T03:00:00+00:00,-1.7552755177145025,38.07971874765128,38.07971874765128,38.07971874765128,0.0,0.0,0.0,0.0,0.0,0.019847588469153146,-1.7552755177145025,-1.3279333104414293,0.4626285635910944,4.669537046393814,9.472452656919017,0.0,1.7552755177145025,38.07971874765128,0.0,0.044063656844570274,0.9559363431554297,0.0
2024-04-01T04:00:00+00:00,-2.5247558669993277,48.86096828558717,48.86096828558717,48.86096828558717,0.0,0.0,0.0,0.0,0.0,0.03200899344339465,-2.5247558669993277,-1.982174344236252,0.5802515748848168,5.393914136375263,10.157938995820684,0.0,2.5247558669993277,48.86096828558717,0.0,0.04913341027368288,0.9508665897263171,0.0
2024-04-01T05:00:00+00:00,-3.3523154992140083,61.881169871499225,61.881169871499225,61.881169871499225,0.0,0.0,0.0,0.0,0.0,0.04713390513156372,-3.3523154992140083,-2.68373262117668,0.7095135682220637,6.1713317205189755,11.148091763408093,0.0,3.3523154992140083,61.881169871499225,0.0,0.051389489311559,0.9486105106884409,0.0
2024-04-01T06:00:00+00:00,-4.1685762999414235,73.7759741785845,73.7759741785845,73.7759741785845,0.0,0.0,0.0,0.0,0.0,0.06505098704733223,-4.1685762999414235,-3.393976277691676,0.8159274244814377,6.665932953716521,11.364838742513554,0.0,4.1685762999414235,73.7759741785845,0.0,0.05348130529137999,0.94651869470862,0.0
2024-04-01T07:00:00+00:00,-5.0141328546900015,86.30188160430018,86.30188160430018,86.30188160430018,0.0,0.0,0.0,0.0,0.0,0.0858641331024355,-5.0141328546900015,-4.120219250125947,0.937008022074899,7.303466630128389,11.96104927477567,0.0,5.0141328546900015,86.30188160430018,0.0,0.05490967695421965,0.9450903230457803,0.0
2024-04-01T08:00:00+00:00,-5.910329601037731,99.86195474677999,99.86195474677999,99.86195474677999,0.0,0.0,0.0,0.0,0.0,0.10978848246518834,-5.910329601037731,-4.882469981688023,1.0738200795763968,8.058980613079786,12.876212382466438,0.0,5.910329601037731,99.86195474677999,0.0,0.055877866659307635,0.9441221333406924,0.0
2024-04-01T09:00:00+00:00,-6.837352830475208,114.10840251145635,114.10840251145635,114.10840251145635,0.0,0.0,0.0,0.0,0.0,0.13698457097860492,-6.837352830475208,-5.676734018102469,1.208779608042009,8.737378898908235,13.644494803517135,0.0,6.837352830475208,114.10840251145635,0.0,0.056532391824293454,0.9434676081757065,0.0
